approved-meat-establishment	company	meat-establishment-type	meat-establishment-operation	meat-establishment-outcome	local-authority	meat-establishment-audit-date	meat-establishment-audit-frequency	meat-establishment-next-audit-due-date	start-date	end-date
5049	Bernard Matthews Foods  Limited	3	25	2	Suffolk	2015-04-28	18	2016-10-01		
5049	Bernard Matthews Foods  Limited	1	25	2	Suffolk	2015-04-28	18	2016-10-01		
5055	A P Burlton (Farms) Limited	3	25	1	Hertfordshire	2017-05-15	12	2018-05-01		
5055	A P Burlton (Farms) Limited	1	25	1	Hertfordshire	2017-05-15	12	2018-05-01		
5077	Dalehead Foods (A Division Of  Tulip)	1	25	2	Cambridgeshire	2017-06-05	24	2019-06-01		
5090	Elmkirk Limited	3	25	1	Essex	2017-08-07	12	2018-08-01		
5090	Elmkirk Limited	1	25	1	Essex	2017-08-07	12	2018-08-01		
5102	London Central Markets	1	25	2	Greater London	2016-09-20	24	2018-09-01		
5102-0002	P J Martinelli Ltd	1	25	2	Greater London	2016-06-15	24	2018-06-01		
5102-0006	William Warman & Gutteridge Ltd	1	25	2	Greater London	2016-11-23	24	2018-11-01		
5106	Dawn Cardington	3	25	1	Bedfordshire	2016-09-22	12	2017-09-01		
5106	Dawn Cardington	1	25	1	Bedfordshire	2016-09-22	12	2017-09-01		
5115	Nelsons (Butchers) Ltd	1	25	1	Lincolnshire	2017-03-02	12	2018-03-01		
5176	Curtis Of Lincoln	1	25	1	Lincolnshire	2016-11-15	12	2017-11-01		
5184	A Wright  & Son	3	25	1	Lincolnshire	2017-04-25	12	2018-04-01		
5184	A Wright  & Son	1	25	1	Lincolnshire	2017-04-25	12	2018-04-01		
5213	Cranswick Country Foods Plc	3	25	1	Norfolk	2016-09-19	12	2017-09-01		
5213	Cranswick Country Foods Plc	1	25	1	Norfolk	2016-09-19	12	2017-09-01		
5215	J E Howard Butchers And Howard's Abattoir	3	25	1	Norfolk	2017-03-29	12	2018-03-01		
5215	J E Howard Butchers And Howard's Abattoir	1	25	1	Norfolk	2017-03-29	12	2018-03-01		
5226	Papworth Farms	1	25	2	Norfolk	2017-06-06	12	2018-06-01		
5238	F L Edge  & Son Ltd	1	25	1	Norfolk	2017-01-30	12	2018-01-01		
5242	Dalehead Foods (A Division Of Tulip)	1	25	2	Suffolk	2016-11-17	24	2018-11-01		
5260	Bramfield Meats	1	25	1	Suffolk	2017-03-27	12	2018-03-01		
5268	Master Meat	1	25	1	Essex	2017-06-09	12	2018-06-01		
5337	2 Sisters Basildon	1	25	2	Essex	2016-01-05	24	2018-01-01		
5359	Hundred River Foods Ltd	1	25	2	Suffolk	2016-07-15	24	2018-07-01		
5392	C J Byford & Son	3	25	2	Essex	2017-07-31	36	2020-07-01		
5392	C J Byford & Son	1	25	2	Essex	2017-07-31	36	2020-07-01		
5393	Midland Food Services Limited	1	25	1	Northamptonshire	2017-08-10	12	2018-08-01		
5416	Hilton Foods Uk Limited	1	25	2	Cambridgeshire	2016-06-22	24	2018-06-01		
5430	Ben Rigby Game Ltd	3	25	1	Essex	2016-11-02	12	2017-11-01		
5430	Ben Rigby Game Ltd	1	25	1	Essex	2016-11-02	12	2017-11-01		
5431	Lane Farm Country Foods	1	25	2	Suffolk	2016-02-18	24	2018-02-01		
5438	Kerry Foods Ltd	1	25	2	Norfolk	2017-07-06	12	2018-07-01		
5443	Direct Meats (Knights Farm) Ltd	1	25	2	Essex	2017-03-02	24	2019-03-01		
5450	Traditional Norfolk Poultry Ltd	3	25	2	Norfolk	2016-05-17	36	2019-05-01		
5450	Traditional Norfolk Poultry Ltd	1	25	2	Norfolk	2016-05-17	36	2019-05-01		
5464	Banham Poultry Limited	3	25	1	Norfolk	2016-10-13	12	2017-10-01		
5464	Banham Poultry Limited	1	25	1	Norfolk	2016-10-13	12	2017-10-01		
5478	Vatan Catering Ltd	1	25	2	Greater London	2017-04-04	12	2018-04-01		
5488	Kosher Deli (Uk)	1	25	1	Greater London	2017-05-23	12	2018-05-01		
5498	Wick Farm Meats	1	25	2	Essex	2016-07-27	24	2018-07-01		
5499	Wicks Manor	1	25	2	Essex	2017-08-10	24	2019-08-01		
5500	Peterborough Game Co Ltd	3	25	1	Lincolnshire	2016-11-18	12	2017-11-01		
5500	Peterborough Game Co Ltd	1	25	1	Lincolnshire	2016-11-18	12	2017-11-01		
5501	Eastern Meat Supplies	1	25	1	Cambridgeshire	2016-12-12	12	2017-12-01		
5503	The Rare Breed Meat Company Limited	1	25	1	Essex	2017-07-07	12	2018-07-01		
5508	The Wild Meat Company Ltd	3	25	2	Suffolk	2017-01-16	36	2020-01-01		
5508	The Wild Meat Company Ltd	1	25	2	Suffolk	2017-01-16	36	2020-01-01		
5513	Woodhead Brothers	3	25	2	Lincolnshire	2017-05-23	36	2020-05-01		
5513	Woodhead Brothers	1	25	2	Lincolnshire	2017-05-23	36	2020-05-01		
5516	Simply Halal (Banham) Limited	1	25	1	Norfolk	2017-05-04	12	2018-05-01		
5518	Grasmere Farm Ltd	1	25	1	Cambridgeshire	2017-03-30	12	2018-03-01		
5519	C & K Meats Ltd	3	25	1	Suffolk	2017-03-31	12	2018-03-01		
5519	C & K Meats Ltd	1	25	1	Suffolk	2017-03-31	12	2018-03-01		
5521	Britannic Foods	1	25	2	Cambridgeshire	2017-06-23	12	2018-06-01		
5522	British Premium Meats	1	25	1	Hertfordshire	2017-06-29	12	2018-06-01		
5523	Romford Catering Supplies Ltd	1	25	1	Essex	2016-10-07	12	2017-10-01		
5528	Marbec Meats	1	25	2	Greater London	2016-03-16	24	2018-03-01		
5529	Middlesex Meat Company Limited	1	25	1	Middlesex	2017-04-19	12	2018-04-01		
5530	Frank Godfrey Ltd	1	25	1	Greater London	2016-10-06	12	2017-10-01		
6055	Tendercut Meats Ltd	1	25	2	Hampshire	2016-02-18	24	2018-02-01		
6057	Randall Parker Foods	1	25	1	Hampshire	2016-10-19	12	2017-10-01		
6067	Tottingworth Farm Limited	3	25	1	East Sussex	2017-01-18	12	2018-01-01		
6067	Tottingworth Farm Limited	1	25	1	East Sussex	2017-01-18	12	2018-01-01		
6118	Blakes Meats Limited	1	25	1	East Sussex	2016-11-16	12	2017-11-01		
6119	Natural Farms Ltd	1	25	1	East Sussex	2017-03-06	12	2018-03-01		
6156	Berkshire Meats	1	25	2	Berkshire	2016-01-15	24	2018-01-01		
6164	Natural Farms (Oxon) Ltd	1	25	2	Oxfordshire	2017-01-18	12	2018-01-01		
6206	Gilberts Kosher Foods Ltd	1	25	1	Buckinghamshire	2016-09-08	12	2017-09-01		
6212	R Owton (Wholesale Butchers) Ltd	1	25	1	Hampshire	2017-03-21	12	2018-03-01		
6214	Pinnacle Foods Ltd	1	25	2	Hampshire	2016-07-14	24	2018-07-01		
6219	Concept Foods Ltd	1	25	2	Hampshire	2016-05-19	24	2018-05-01		
6240	Cherryfield (Croydon) Ltd	1	25	1	Surrey	2016-12-02	12	2017-12-01		
6319	Eden Valley Group	1	25	2	Kent	2016-07-27	24	2018-07-01		
6325	Fairfax Meadow Europe Ltd	1	25	2	Kent	2016-03-08	24	2018-03-01		
6326	J R Farm Meats Ltd	3	25	2	Kent	2017-04-25	18	2018-10-01		
6326	J R Farm Meats Ltd	1	25	2	Kent	2017-04-25	18	2018-10-01		
6342	Stm (Sussex) Limited	3	25	1	West Sussex	2017-05-22	12	2018-05-01		
6342	Stm (Sussex) Limited	1	25	1	West Sussex	2017-05-22	12	2018-05-01		
6344	Vicars Game Limited	3	25	1	Berkshire	2016-11-15	12	2017-11-01		
6344	Vicars Game Limited	1	25	1	Berkshire	2016-11-15	12	2017-11-01		
6347	Solent Butchers Ltd	1	25	1	Hampshire	2017-06-12	12	2018-06-01		
6350	Rother Valley Organics	1	25	2	Hampshire	2017-08-01	12	2018-08-01		
6359	Laverstoke Park Farm Ltd	3	25	2	Hampshire	2016-11-30	18	2018-05-01		
6359	Laverstoke Park Farm Ltd	1	25	2	Hampshire	2016-11-30	18	2018-05-01		
6360	Blackmoor Game Limited	3	25	1	Hampshire	2017-01-10	12	2018-01-01		
6368	Chanctonbury Game	3	25	1	West Sussex	2016-12-12	12	2017-12-01		
6368	Chanctonbury Game	1	25	1	West Sussex	2016-12-12	12	2017-12-01		
6370	Rr Alden Oxford Limited	1	25	2	Oxfordshire	2016-10-13	24	2018-10-01		
6371	Harringay Meat Traders Ltd	1	25	2	Essex	2016-07-13	24	2018-07-01		
6378	A & B Catering Butchers Ltd	1	25	2	Berkshire	2016-07-08	24	2018-07-01		
6381	Butcher & Edmonds Ltd	1	25	2	London	2016-07-20	24	2018-07-01		
6383	Sultan Et Ltd	1	25	2	Greater London	2016-02-25	24	2018-02-01		
6385	Russell Hume Ltd	1	25	1	Greater London	2016-11-03	12	2017-11-01		
6386	Lea Valley Meat Ltd	1	25	2		2017-05-23	24	2019-05-01		
6388	Woburn Country Foods	1	25	2	Bedfordshire	2016-05-19	24	2018-05-01		
6389	C M B Foods Ltd	1	25	2	West Sussex	2016-09-15	12	2017-09-01		
6392	Jennings Of Caversham	1	25	2	Berkshire	2017-06-21	12	2018-06-01		
6394	British Meats	1	25	1	Oxfordshire	2016-12-28	12	2017-12-01		
6395	Highland Crown Ltd	1	25	1	Hampshire	2017-06-07	12	2018-06-01		
6397	Dibs Distribution Limited	1	25	1	Middlesex	2017-03-20	12	2018-03-01		
6398	Fenns Of Piccadilly	1	25	2	Greater London	2016-09-06	24	2018-09-01		
6399	Salvatori Food Service Ltd	1	25	2	Kent	2017-01-10	24	2019-01-01		
6400	Ims Of Smithfield Ltd	1	25	1	Greater London	2016-11-22	12	2017-11-01		
6402	Wells Farm Supplies Ltd	1	25	2	Kent	2016-11-29	24	2018-11-01		
6405	Nigel Fredericks Limited	1	25	2	Greater London	2016-11-03	24	2018-11-01		
6406	Godden Butchers	1	25	1	Buckinghamshire	2017-02-08	12	2018-02-01		
8004	M C Kelly Limited	3	25	1	Devon	2017-01-25	12	2018-01-01		
8004	M C Kelly Limited	1	25	1	Devon	2017-01-25	12	2018-01-01		
8005	2 Sisters Food Group   Ltd	3	25	2	Devon	2016-12-13	18	2018-06-01		
8005	2 Sisters Food Group   Ltd	1	25	2	Devon	2016-12-13	18	2018-06-01		
8016	Freemans Of Newent Limited	3	25	2	Gloucestershire	2017-01-30	36	2020-01-01		
8016	Freemans Of Newent Limited	1	25	2	Gloucestershire	2017-01-30	36	2020-01-01		
8019	Otter Valley Poultry	3	25	2	Devon	2016-07-25	18	2018-01-01		
8019	Otter Valley Poultry	1	25	2	Devon	2016-07-25	18	2018-01-01		
8037	University Of Bristol	3	25	1	North Somerset	2017-06-19	12	2018-06-01		
8037	University Of Bristol	1	25	1	North Somerset	2017-06-19	12	2018-06-01		
8061	Tulip Fresh Meats (Westerleigh)	3	25	2	Avon	2016-10-14	36	2019-10-01		
8061	Tulip Fresh Meats (Westerleigh)	1	25	2	Avon	2016-10-14	36	2019-10-01		
8073	St Merryn Foods Bodmin	3	25	2	Cornwall	2016-03-21	18	2017-09-01		
8073	St Merryn Foods Bodmin	1	25	2	Cornwall	2016-03-21	18	2017-09-01		
8088	Hunt's Foodservice Ltd	1	25	2	Dorset	2016-08-17	24	2018-08-01		
8101	East Hill Pride	3	25	1	Devon	2017-03-13	12	2018-03-01		
8101	East Hill Pride	1	25	1	Devon	2017-03-13	12	2018-03-01		
8115	R J Trevarthen Wholesale Butchers	3	25	1	Cornwall	2016-10-20	12	2017-10-01		
8115	R J Trevarthen Wholesale Butchers	1	25	1	Cornwall	2016-10-20	12	2017-10-01		
8118	M Yates And Sons Limited	1	25	1	Cornwall	2017-02-20	12	2018-02-01		
8149	Bakers Of Nailsea Limited	3	25	1	Somerset	2016-12-15	12	2017-12-01		
8149	Bakers Of Nailsea Limited	1	25	1	Somerset	2016-12-15	12	2017-12-01		
8191	C Snell Wholesale	3	25	1	Somerset	2017-03-13	12	2018-03-01		
8191	C Snell Wholesale	1	25	1	Somerset	2017-03-13	12	2018-03-01		
8216	Abp Yetminster	3	25	1	Dorset	2017-02-27	12	2018-02-01		
8216	Abp Yetminster	1	25	1	Dorset	2017-02-27	12	2018-02-01		
8241	T & H Lobb Limited	3	25	1	Cornwall	2016-09-19	12	2017-09-01		
8241	T & H Lobb Limited	1	25	1	Cornwall	2016-09-19	12	2017-09-01		
8297	Hampshire Game Ltd	3	25	2	Hampshire	2016-07-15	18	2018-01-01		
8299	St Merryn Foods Victoria	1	25	2	Cornwall	2016-07-22	24	2018-07-01		
8301	Gages Farm Ltd	3	25	1	Devon	2017-08-24	12	2018-08-01		
8301	Gages Farm Ltd	1	25	1	Devon	2017-08-24	12	2018-08-01		
8323	Tregagles	1	25	2	Cornwall	2016-07-25	24	2018-07-01		
8339	Osgrow Exotic Meats Limited	1	25	1	Avon	2017-01-11	12	2018-01-01		
8342	Cornish Farmhouse Bacon Company	3	25	1	Devon	2016-10-17	12	2017-10-01		
8342	Cornish Farmhouse Bacon Company	1	25	1	Devon	2016-10-17	12	2017-10-01		
8343	Kittows Butchers	1	25	1	Cornwall	2016-11-14	12	2017-11-01		
8347	Bosuen Manor Meats	1	25	2	Cornwall	2016-07-18	24	2018-07-01		
8349	Stillmans (Somerset) Ltd	1	25	1	Somerset	2017-05-18	12	2018-05-01		
8354	C & S Meats Ltd	3	25	1	Dorset	2017-08-29	12	2018-08-01		
8354	C & S Meats Ltd	1	25	1	Dorset	2017-08-29	12	2018-08-01		
8355	John Sheppard Butchers Ltd	1	25	1	Avon	2017-01-16	12	2018-01-01		
8364	Complete Meats	1	25	2	Devon	2016-03-30	24	2018-03-01		
8367	Eversfield Organic Limited	1	25	2	Devon	2016-07-11	24	2018-07-01		
8368	Ashton Exotic Meats Limited	1	25	2	Somerset	2017-07-28	12	2018-07-01		
8373	Riverford Organic Farmers Limited	1	25	1	Devon	2017-07-12	12	2018-07-01		
8374	Creed Foodservice Limited	1	25	2	Gloucestershire	2016-02-09	24	2018-02-01		
8375	Scorse Foods Ltd	1	25	2	Cornwall	2016-05-25	24	2018-05-01		
8376	Bristol Meat Trader Ltd	1	25	1	Avon	2017-05-17	12	2018-05-01		
8378	Devon Rose Ltd	1	25	1	Devon	2016-10-18	12	2017-10-01		
8380	Brian Etherington Meat Company Ltd	1	25	1	Cornwall	2017-03-23	12	2018-03-01		
8381	Ivan Clarke Catering Butchers Ltd	1	25	1	Devon	2017-07-05	12	2018-07-01		
8383	Weddel Swift Distribution Ltd	1	25	1	Devon	2017-03-09	12	2018-03-01		
8385	Gibbins Quality Meats	1	25	1	Devon	2016-11-08	12	2017-11-01		
8386	R D Johns Ltd	1	25	1	Devon	2016-09-22	12	2017-09-01		
8387	Woodchester Meat Company Ltd	1	25	2	Gloucestershire	2016-06-27	24	2018-06-01		
8388	Andrew James Butchery	1	25	1	Devon	2016-12-28	12	2017-12-01		
8392	Wiltshire Game Ltd	3	25	1	Wiltshire	2017-05-24	12	2018-05-01		
8393	Dalehead Foods (A Division Of Tulip)	1	25	1	Wiltshire	2017-06-29	12	2018-06-01		
9001	Abp Holdings Ltd (Trading As Abp (Newry)	3	25	2	Co. Down	2017-05-23	36	2020-05-01		
9001	Abp Holdings Ltd (Trading As Abp (Newry)	1	25	2	Co. Down	2017-05-23	36	2020-05-01		
9011	Doherty & Gray Ltd	1	25	2	Co. Antrim	2016-05-19	24	2018-05-01		
9012	Dunbia (Northern Ireland)	3	25	1	Co. Tyrone	2016-11-30	12	2017-11-01		
9012	Dunbia (Northern Ireland)	1	25	1	Co. Tyrone	2016-11-30	12	2017-11-01		
9016	Foyle Meats Ltd	3	25	2	Co. Londonderry	2016-10-06	36	2019-10-01		
9016	Foyle Meats Ltd	1	25	2	Co. Londonderry	2016-10-06	36	2019-10-01		
9023	Linden Foods Ltd	3	25	2	Co. Tyrone	2017-08-17	36	2020-08-01		
9023	Linden Foods Ltd	1	25	2	Co. Tyrone	2017-08-17	36	2020-08-01		
9024	Hewitt Meats	1	25	1	Co. Armagh	2017-03-28	12	2018-03-01		
9025	Hilton Meats (Cookstown) Ltd	1	25	2	Co. Tyrone	2017-02-21	12	2018-02-01		
9042	Foyle Omagh Ltd	3	25	2	Co. Tyrone	2017-05-12	36	2020-05-01		
9042	Foyle Omagh Ltd	1	25	2	Co. Tyrone	2017-05-12	36	2020-05-01		
9044	Fred C Robinson Ltd	1	25	2	Co. Antrim	2016-12-29	12	2017-12-01		
9047	Topping Meats	1	25	2	Co. Antrim	2017-01-23	12	2018-01-01		
9049	Drumgold Quality Foods	1	25	2	Co. Armagh	2017-06-21	12	2018-06-01		
9052	Karro Food Group Ltd	3	25	2	Co. Tyrone	2016-10-27	36	2019-10-01		
9052	Karro Food Group Ltd	1	25	2	Co. Tyrone	2016-10-27	36	2019-10-01		
9056	W D Meats Ltd	3	25	2	Co. Derry	2017-05-26	18	2018-11-01		
9056	W D Meats Ltd	1	25	2	Co. Derry	2017-05-26	18	2018-11-01		
9058	Galgorm Meats Ltd	1	25	2	Co. Antrim	2016-06-17	24	2018-06-01		
9061	Hannan Meats	1	25	2	Co. Down	2017-04-05	24	2019-04-01		
9073	Wm Sprott (Portadown) Ltd	1	25	2	Co. Armagh	2016-02-24	24	2018-02-01		
9075	Traynor Quality Meats	1	25	2	Co. Tyrone	2016-01-26	24	2018-01-01		
9097	Pinkertons Ltd.	1	25	2	Co. Armagh	2016-03-08	24	2018-03-01		
9103	C & J Meats	1	25	2	Co. Armagh	2017-04-28	24	2019-04-01		
9107	Mckee's	1	25	2	Co. Londonderry	2016-04-08	24	2018-04-01		
9108	Kettyle Irish Foods	1	25	2	Co. Fermanagh	2017-06-20	24	2019-06-01		
9112	Causeway Prime	1	25	2	Co. Derry	2016-11-17	12	2017-11-01		
9117	Crosskeys Meats	1	25	2	Co. Antrim	2017-02-06	12	2018-02-01		
9118	C Mallon	1	25	2	Co. Armagh	2016-10-17	24	2018-10-01		
9127	Portavo Game	3	25	2	Co. Down	2016-12-13	36	2019-12-01		
9127	Portavo Game	1	25	2	Co. Down	2016-12-13	36	2019-12-01		
9132	Abercorn Estates	3	25	2	Co. Tyrone	2016-01-12	36	2019-01-01		
9132	Abercorn Estates	1	25	2	Co. Tyrone	2016-01-12	36	2019-01-01		
9133	Ferguson Meats Ltd	1	25	2	Co. Antrim	2016-06-24	24	2018-06-01		
9135	K & G McAtamney Wholesale Meats Ltd	1	25	2	Co. Antrim	2017-02-24	12	2018-02-01		
9136	Carnbrooke Meats & Poultry	1	25	1	Co. Down	2016-09-06	12	2017-09-01		
9137	Meadow Farm Quality Foods Ltd (T/A Pol Meat)	1	25	1		2017-05-30	12	2018-05-01		
9138	Primacy Meats Ltd	1	25	2		2017-04-04	12	2018-04-01		
9205	Armstrong Meats Ltd	1	25	2	Belfast	2016-11-23	24	2018-11-01		
9502	Moy Park Ltd	3	25	2	Co. Tyrone	2017-07-25	18	2019-01-01		
9502	Moy Park Ltd	1	25	2	Co. Tyrone	2017-07-25	18	2019-01-01		
9508	H.K. Dickey(T/A Dickeys Poultry)	3	25	1	Co. Antrim	2017-03-28	12	2018-03-01		
9508	H.K. Dickey(T/A Dickeys Poultry)	1	25	1	Co. Antrim	2017-03-28	12	2018-03-01		
9509	Moy Park Ballymena	3	25	1	Co. Antrim	2017-03-22	12	2018-03-01		
9509	Moy Park Ballymena	1	25	1	Co. Antrim	2017-03-22	12	2018-03-01		
9518	Mckeown Fine Foods Ltd	3	25	2	Co. Antrim	2017-01-23	36	2020-01-01		
9518	Mckeown Fine Foods Ltd	1	25	2	Co. Antrim	2017-01-23	36	2020-01-01		
9520	Gb Poultry Ltd	1	25	2	Co. Down	2016-11-29	24	2018-11-01		
9554	Rockvale Poultry	3	25	1	Co. Armagh	2017-06-28	12	2018-06-01		
9554	Rockvale Poultry	1	25	1	Co. Armagh	2017-06-28	12	2018-06-01		
ZS 005	Jtm Meats	1	25	2	Co. Londonderry	2016-10-18	12	2017-10-01		
7006	The Food Technology Centre	1	25	2	Anglesey	2016-06-21	24	2018-06-01		
7008	Preseli Bluestone Meats Limited	1	25	2	Dyfed	2017-06-01	24	2019-06-01		
7009	2 Sisters Sandycroft	3	25	2	Flintshire	2016-09-26	36	2019-09-01		
7009	2 Sisters Sandycroft	1	25	2	Flintshire	2016-09-26	36	2019-09-01		
7013	Faccenda Foods Limited	1	25	2	Gwent	2016-01-28	24	2018-01-01		
7015	Dunbia Llanybydder	3	25	2	Carmarthenshire	2016-04-15	36	2019-04-01		
7015	Dunbia Llanybydder	1	25	2	Carmarthenshire	2016-04-15	36	2019-04-01		
7020	Llechwedd  Meats	1	25	1	Anglesey	2017-05-03	12	2018-05-01		
7024	Daphne's Original Welsh Lamb	1	25	2	Denbighshire	2016-08-02	24	2018-08-01		
7028	Celtica Foods Limited	1	25	2	Camarthenshire	2017-07-06	24	2019-07-01		
7030	Bwydlyn	1	25	2	Gwynedd	2016-09-07	24	2018-09-01		
7044	I & B Jones Limited	1	25	1	Mid Glamorgan	2017-08-01	12	2018-08-01		
7048	Hugh Phillips Gower Butcher	3	25	2	West Glamorgan	2017-05-30	18	2018-11-01		
7048	Hugh Phillips Gower Butcher	1	25	2	West Glamorgan	2017-05-30	18	2018-11-01		
7050	Dowtys Cutting Plant	1	25	2		2017-06-30	12	2018-06-01		
7069	William Lloyd Williams And Son	3	25	1	Powys	2017-08-21	12	2018-08-01		
7069	William Lloyd Williams And Son	1	25	1	Powys	2017-08-21	12	2018-08-01		
7085	Direct Meat Supplies Limited	1	25	2	Dyfed	2016-07-26	24	2018-07-01		
7115	Stanley Jones	1	25	2	Clywd	2017-05-09	12	2018-05-01		
7124	Welsh Bros Foods Ltd	1	25	2	Gwent	2017-02-03	24	2019-02-01		
7145	O G Griffiths & Son	1	25	2	Powys	2017-07-13	24	2019-07-01		
7149	Hughes Meats Company Limited	1	25	1	Gwynedd	2016-07-22	12	2017-07-01		
7161	Capestone Organic Poultry Limited	3	25	2	Pembrokeshire	2017-02-21	18	2018-08-01		
7161	Capestone Organic Poultry Limited	1	25	2	Pembrokeshire	2017-02-21	18	2018-08-01		
7176	St Merryn Foods - Merthyr Tydfil	3	25	1	Mid Glamorgan	2017-04-05	12	2018-04-01		
7176	St Merryn Foods - Merthyr Tydfil	1	25	1	Mid Glamorgan	2017-04-05	12	2018-04-01		
7182	Mr D T Havard	3	25	1	Mid Glamorgan	2017-01-23	12	2018-01-01		
7182	Mr D T Havard	1	25	1	Mid Glamorgan	2017-01-23	12	2018-01-01		
7183	D & J Thomas	1	25	1	Clwyd	2017-07-06	12	2018-07-01		
7191	Welsh Farm Organics	1	25	2	Powys	2016-05-23	24	2018-05-01		
7195	Dawn Crosshands - A Division Of Dawn Meats (Uk)	1	25	2	Carmarthenshire	2016-07-13	24	2018-07-01		
7201	Food Centre Wales	1	25	1	Ceredigion	2015-08-17	12	2016-08-01		
7202	Bob The Butcher Wales Limited	1	25	1	Powys	2017-06-19	12	2018-06-01		
7203	Williams Of Flint	1	25	1	Flintshire	2017-07-20	12	2018-07-01		
7211	Rhug Organic	1	25	2	Denbighshire	2017-04-11	24	2019-04-01		
7212	Douglas Willis Limited	1	25	2	Torfaen	2017-03-06	12	2018-03-01		
7219	Welsh Meat Online	1	25	2	Powys	2016-11-15	12	2017-11-01		
7222	Howells Butchers Limited	1	25	2	Swansea	2016-01-26	24	2018-01-01		
1004	Newby Foods Limited	1	26	2	North Yorkshire	2016-10-13	24	2018-10-01		
1017	R.S. Ashby Limited	1	26	1	Greater London	2017-05-23	12	2018-05-01		
1023	Kevin McAdam Catering Butchers	1	26	3	Somerset	2017-08-21	3	2017-11-01		
1024	Jon Thorner's Ltd	1	26	1	Somerset	2016-12-09	12	2017-12-01		
1057	P J Roofe Catering Butchers	1	26	2	Norfolk	2016-02-10	24	2018-02-01		
1067	Swannington Farm To Fork	1	26	1	Norfolk	2017-06-26	12	2018-06-01		
1090	Cleveleys Foods Limited	1	26	2	Suffolk	2017-03-16	24	2019-03-01		
2028	Spar Distribution Centre	1	26	2	Lancashire	2016-02-02	24	2018-02-01		
2058	Honeywell Meats Ltd	1	26	1	Lancashire	2017-02-16	12	2018-02-01		
2060	Malton Bacon Factory	3	26	2	North Yorkshire	2016-03-03	36	2019-03-01		
2060	Malton Bacon Factory	1	26	2	North Yorkshire	2016-03-03	36	2019-03-01		
2078	R & P Meats Limited	1	26	2	Cambridgeshire	2016-11-09	24	2018-11-01		
2097	M I Dickson Ltd	1	26	2	Tyne and Wear	2016-10-06	24	2018-10-01		
2111	Price & Fretwell Ltd	1	26	1	Derbyshire	2016-11-14	12	2017-11-01		
2113	Jc Rook & Sons Factory And Food Services	1	26	1	Kent	2017-05-03	12	2018-05-01		
2143	W A Foods	1	26	1	Isle of Wight	2017-01-30	12	2018-01-01		
2150	Kernow Sausage Company Limited	1	26	1	Cornwall	2017-05-05	12	2018-05-01		
2186	Moo Moo	1	26	1	Cheshire	2017-03-30	12	2018-03-01		
2265	Tulip Cooked Meats (Boston)	1	26	2	Lincolnshire	2016-06-03	24	2018-06-01		
2271	H Greaves & Son (Meat Products) Ltd	1	26	2	Lancashire	2016-04-13	24	2018-04-01		
2282	M & T Butchers Preston Ltd	1	26	1	Lancashire	2017-03-07	12	2018-03-01		
2382	Walkers Midshire Foods (Ham)	1	26	2	Leicestershire	2016-04-26	24	2018-04-01		
2400	Cranstons Quality Butchers Ltd	1	26	2	Cumbria	2016-07-15	24	2018-07-01		
2457	Yorkshire Dales Meat Company Ltd	1	26	2	North Yorkshire	2017-08-15	12	2018-08-01		
2458	Abp Doncaster	1	26	2	South Yorkshire	2016-04-21	24	2018-04-01		
2491	Country Harvest  Farm Foods	1	26	2	County Durham	2016-09-08	12	2017-09-01		
2494	Thompsons Food Service Ltd	1	26	2	Norfolk	2017-06-22	24	2019-06-01		
2507	Sidor Meat Limited	1	26	1	Worcestershire	2017-06-23	12	2018-06-01		
2527	Palfrey And Hall	1	26	2	Suffolk	2016-01-29	24	2018-01-01		
2532	Sandridge Farmhouse Bacon Limited	1	26	2	Wiltshire	2017-04-21	12	2018-04-01		
2558	John Crawshaw Butchers	1	26	2	South Yorkshire	2016-08-11	12	2017-08-01		
2566	Bearfields Limited	1	26	2	Greater London	2016-01-27	24	2018-01-01		
2600	Downland Produce	1	26	2	Wiltshire	2016-09-13	24	2018-09-01		
2641	Pepperell's Meats Ltd	1	26	1		2016-10-20	12	2017-10-01		
4014	Cargill Meats Europe	3	26	1	Herefordshire	2017-02-22	12	2018-02-01		
4014	Cargill Meats Europe	1	26	1	Herefordshire	2017-02-22	12	2018-02-01		
4083	Cook's Of Rainford	3	26	2	Merseyside	2016-05-16	18	2017-11-01		
4083	Cook's Of Rainford	1	26	2	Merseyside	2016-05-16	18	2017-11-01		
4085	Tulip Fresh Meats (Ashton)	3	26	1	Cheshire	2016-10-26	12	2017-10-01		
4085	Tulip Fresh Meats (Ashton)	1	26	1	Cheshire	2016-10-26	12	2017-10-01		
4090	F A Gill Ltd	3	26	1	West Midlands	2017-07-25	12	2018-07-01		
4090	F A Gill Ltd	1	26	1	West Midlands	2017-07-25	12	2018-07-01		
4108	F. Houghton & Family (Wholesale Butchers) Ltd	1	26	1	Cheshire	2017-07-25	12	2018-07-01		
4246	Neil Powell Catering	1	26	1	Herefordshire	2017-02-23	12	2018-02-01		
4270	Forresters (Sales) Ltd	1	26	2	Cheshire	2016-06-09	24	2018-06-01		
4465	Owen Taylor And Sons Limited	1	26	2	Derbyshire	2016-09-14	24	2018-09-01		
4722	Bawnbua Foods Gb Ltd	1	26	1	Lancashire	2016-09-20	12	2017-09-01		
4744	Adlington Limited	1	26	2	West Midlands	2016-06-30	24	2018-06-01		
4757	T S Bloor & Sons Limited	1	26	2	Leicestershire	2016-02-25	24	2018-02-01		
